Origen,Aeropuerto Origen,Hora Salida,Hora de Llegada,Destino,Aeropuerto / Destino,Tiempo Vuelo,Origen / Vuelta,Aeropuerto / Origen,Hora Salida - V,Hora Llegada - V,Destino / Vuelta,Aeropuerto / Destino - Vuelta,Tiempo Vuelo - V,Aerolinea,Precio_1,Agencia_1,Precio_2,Agencia_2,Precio_3,Agencia_3,Clase
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,14:11,15:07,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,12:43,13:42,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,20:56,21:54,Bogota,El Dorado,0h 58m,Wingo,$283.060,Aviatur,$288.420,Viajes Éxito,$273.420,Wingo,Go Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,11:14,12:10,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,14:53,15:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,12:43,13:42,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,6:00,6:58,Bogota,El Dorado,0h 58m,Wingo,$283.060,Aviatur,$288.420,Viajes Éxito,$273.420,Wingo,Go Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,11:14,12:10,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,13:18,14:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,14:11,15:07,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,12:18,13:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,9:02,9:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,8:02,8:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
